,Input,Target,Predicted,Edit Distance
53,thiruththuvatharku,திருத்துவதற்கு,்்்்்்்்்்்்்்்்்்்்்்்்,22
54,titaniumm,டைட்டானியம்,்்்்்்்்்்்்்்்்்்்்்்்்,22
55,idharkellaam,இதற்கெல்லாம்,்்்்்்்்்்்்்்்்்்்்்்்்,21
56,pakiirathan,பகீரதன்,்்்்்்்்்்்்்்்்்்்்்்்்,23
57,kuutukalil,கூடுகளில்,்்்்்்்்்்்்்்்்்்்்்்்்,23
58,vaathanggalai,வாதங்களை,்்்்்்்்்்்்்்்்்்்்்்்்,23
59,kollaadhavar,கொள்ளாதவர்,்்்்்்்்்்்்்்்்்்்்்்்்,22
60,idaith,இடைத்,்்்்்்்்்்்்்்்்்்்்்்்்,23
61,thiyaakaraajar,தியாகராஜர்,்்்்்்்்்்்்்்்்்்்்்்்்,23
62,accelya,அசில்யா,்்்்்்்்்்்்்்்்்்்்்்்்,23
63,vealaiyaaka,வேலையாக,்்்்்்்்்்்்்்்்்்்்்்்்,24
64,velaiththittam,வேலைத்திட்டம்,்்்்்்்்்்்்்்்்்்்்்்்்,21
65,paek,பேக்,்்்்்்்்்்்்்்்்்்்்்்்்,23
66,andar,அண்டர்,்்்்்்்்்்்்்்்்்்்்்்்்,22
67,wai,வேய்,்்்்்்்்்்்்்்்்்்்்்்்்,23
68,bhusawal,புஸாவால்,்்்்்்்்்்்்்்்்்்்்்்்்,23
69,nilaippaattil,நிலைப்பாட்டில்,்்்்்்்்்்்்்்்்்்்்்்்்,21
70,goopee,கோபி,்்்்்்்்்்்்்்்்்்்்்்்்,24
71,arkis,அர்கிஸ்,்்்்்்்்்்்்்்்்்்்்்்்்,22
72,maembaalam,மேம்பாலம்,்்்்்்்்்்்்்்்்்்்்்்்்,22
73,vechchitteengaley,வெச்சிட்டீங்களே,்்்்்்்்்்்்்்்்்்்்்்்்,21
74,vaathittu,வாதிட்டு,்்்்்்்்்்்்்்்்்்்்்்்்,23
75,cakkarattai,சக்கரத்தை,்்்்்்்்்்்்்்்்்்்்்்்்,22
76,sonwani,சோன்வானி,்்்்்்்்்்்்்்்்்்்்்்்்,23
77,panitthaan,பணித்தான்,்்்்்்்்்்்்்்்்்்்்்்்்,22
78,cranston,கிரான்ஸ்டான்,்்்்்்்்்்்்்்்்்்்்்்்்,21
79,jinivaa,ஜினிவா,்்்்்்்்்்்்்்்்்்்்்்்்,24
80,kanavanin,கணவனின்,்்்்்்்்்்்்்்்்்்்்்்்்,23
81,bakthakedigal,பக்தகேடிகள்,்்்்்்்்்்்்்்்்்்்்்்்்,22
82,kulanggalin,குளங்களின்,்்்்்்்்்்்்்்்்்்்்்்்்,22
83,parppavar,வேலைப்,்்்்்்்்்்்்்்்்்்்்்்்்,23
84,idharkellam,இதற்கெல்லாம்,்்்்்்்்்்்்்்்்்்்்்்்்,21
85,adankiyuzhzha,அடங்கியுள்ள,்்்்்்்்்்்்்்்்்்்்்்்்,22
86,latchiyaththirgum,இலட்சத்திற்கும்,்்்்்்்்்்்்்்்்்்்்்்்்,20
87,piridhoru,பிறிதொரு,்்்்்்்்்்்்்்்்்்்்்்்்,24
88,thanggumidam,தங்குமிடம்,்்்்்்்்்்்்்்்்்்்்்்்்,22
89,railway,ரெயில்வே,்்்்்்்்்்்்்்்்்்்்்்்்,23
90,aerpadavillai,ஏற்படவில்லை,்்்்்்்்்்்்்்்்்்்்்்்்,22
91,vipaththin,விபத்தின்,்்்்்்்்்்்்்்்்்்்்்்்்,22
92,polavo,போலவோ,்்்்்்்்்்்்்்்்்்்்்்்்,24
93,maheshh,மகேஷ்,்்்்்்்்்்்்்்்்்்்்்்்்,23
94,varunthaan,வருந்தான்,்்்்்்்்்்்்்்்்்்்்்்்்,22
95,aanaiya,ஆணைய,்்்்்்்்்்்்்்்்்்்்்்்்,24
96,noolum,நூலும்,்்்்்்்்்்்்்்்்்்்்்்்்,23
97,erickson,எரிக்சன்,்்்்்்்்்்்்்்்்்்்்்்்்,22
98,aarampiththullathu,ஆரம்பித்துள்ளது,்்்்்்்்்்்்்்்்்்்்்்்்,21
99,asija,அசிஜா,்்்்்்்்்்்்்்்்்்்்்்்்,24
100,katch,கட்ச்,்்்்்்்்்்்்்்்்்்்்்்்்,22
101,maiyamaaka,மையமாக,்்்்்்்்்்்்்்்்்்்்்்்்,24
102,kooppaiyil,கோப்பையில்,்்்்்்்்்்்்்்்்்்்்்்்்,22
103,kuuttankal,கூட்டங்கள்,்்்்்்்்்்்்்்்்்்்்்்்்,21
104,sernthuvittiruntha,சேர்ந்துவிட்டிருந்த,்்்்்்்்்்்்்்்்்்்்்்்்,20
105,teta,டாடா,்்்்்்்்்்்்்்்்்்்்்்்்,24
106,aanaimalai,ஆனைமலை,்்்்்்்்்்்்்்்்்்்்்்்்,24
107,yuneskoavin,யுனெஸ்கோவின்,்்்்்்்்்்்்்்்்்்்்்்்்,22
108,varaaga,வராக,்்்்்்்்்்்்்்்்்்்்்்்்,24
109,vandhirundhanar,வந்திருந்தனர்,்்்்்்்்்்்்்்்்்்்்்்்்,21
110,rajgarh,ரஜ்கர்,்்்்்்்்்்்்்்்்்்்்்்்்,22
111,munnetukka,முன்னெடுக்க,்்்்்்்்்்்்்்்்்்்்்்்்,22
112,kkul,க்குள்,்்்்்்்்்்்்்்்்்்்்்்்்,22
113,kallaala,கல்லால,்்்்்்்்்்்்்்்்்்்்்்்்,23
114,lee,லீ,்்்்்்்்்்்்்்்்்்்்்்்்,24
115,thittamittullaar,திட்டமிட்டுள்ளார்,்்்்்்்்்்்்்்்்்்்்்்்்,20
116,thaervil,தேர்வில்,்்்்்்்்்்்்்்்்்்்்்்்்,22
117,muguthuvali,முகுதுவலி,்்்்்்்்்்்்்்்்்்்்்்்்,24
118,mansfield,மேன்ஸ்ஃபீல்ட்,்்்்்்்்்்்்்்்்்்்்்்்்,20
119,kaiyaal,கையாள்,்்்்்்்்்்்்்்்்்்்்்்்்,23
120,aana,ஆன்,்்்்்்்்்்்்்்்்்்்்்்்்,23
121,kudayyil,குடையில்,்்்்்்்்்்்்்்்்்்்்்்்்,23
122,sollra,சொல்ற,்்்்்்்்்்்்்்்்்்்்்்்்,23
123,itarsi,இடார்சி,்்்்்்்்்்்்்்்்்்்்்்்்,23
124,kirishthavarkalin,கிறித்தவர்களின்,்்்்்்்்்்்்்்்்்்்்்்்்,21
125,adumattumalla,அதுமட்டுமல்ல,்்்்்்்்்்்்்்்்்்்்்்்்,22
126,shajapur,சஜாபூர்,்்்்்்்்்்்்்்்்்்்்்்்்,23
127,colii,கோலி,்்்்்்்்்்்்்்்்்்்்்்்்,24
128,saethamadainththana,சேதமடைந்தன,்்்்்்்்்்்்்்்்்்்்்்்்,23
129,matriyirunthathaagavum,மாற்றியிருந்ததாகவும்,்்்்்்்்்்்்்்்்்்்்்்்்,21
130,shaavai,ஷாவை,்்்்்்்்்்்்்்்்்்்்்்்்,24
131,panimanai,பணிமனை,்்்்்்்்்்்்்்்்்்்்்்்்,24
132,saliththollaikaana,சளித்தொல்லைக்கான,்்்்்்்்்்்்்்்்்்்்்்்்,21
133,chitranshi,சித்ரான்ஷி,்்்்்்்்்்்்்்்்்்்்்்்்,22
134,narampukal,நரம்புகள்,்்்்்்்்்்்்்்்்்்்்்்்்,22
135,andri,அன்றி,்்்்்்்்்்்்்்்்்்்்்்்்,23
136,kaithal,கைதல்,்்்்்்்்்்்்்்்்்்்்்்்்,23
137,ananrtham,அனர்த்தம்,்்்்்்்்்்்்்்்்்்்்்்்்,21
138,cork,கார்க்,்்்்்்்்்்்்்்்்்்்்்்்்,22
139,beepi,பீபி,்்்்்்்்்்்்்்்்்்்்்்்்,24
140,sasanka,சசாங்கா,்்்்்்்்்்்்்்்்்்்்்்்்,23
141,under,அண்டர்,்்்்்்்்்்்்்்்்்்்்்்்்,22
142,yoagaththin,யோகத்தின்,்்்்்்்்்்்்்்்்்்்்்்்்,22
143,renton,ரெண்டன்,்்்்்்்்்்்்்்்்்்்்்்்்,22
144,magaaveer,மகாவீர்,்்்்்்்்்்்்்்்்்்்்்்்்,23
145,saashai,சாஸை,்்்்்்்்்்்்்்்்்்்்்்்்,24
146,basirhat,பசிர்ஹட்,்்்்்்்்்்்்்்்்்்்்்்்்,22
147,panigalukkum,பணிகளுக்கும்,்்்்்்்்்்்்்்்்்்்்்்்்,22
148,kulamum,குளமும்,்்்்்்்்்்்்்்்்்்்்்்்்,23
149,kayitrril,கயிற்றில்,்்்்்்்்்்்்்்்்்்்்்்்்,22
150,vilaiyaadudhal,விளையாடுதல்,்்்்்்்்்்்்்்்்்்்்்்்்,23
151,fitzgerald,பிட்ஸ்ஜெரால்ட்,்்்்்்்்்்்்்்்்்்்்்்்்,20
152,modern,மாடன்,்்்்்்்்்்்்்்்்்்்்்்்்,23
153,kota,கோடா,்்்்்்்்்்்்்்்்்்்்்்்்,24
154,kartu,சிம்,்்்்்்்்்்்்்்்்்்்்்்்்,23
155,kalluriyaga,கல்லூரியாக,்்்்்்்்்்்்்்்்்்்்்்்்,23
156,iththittathirkku,இத்திட்டத்திற்கு,்்்்்்்்்்்்்்்்்்்்்்்்,20
157,thanithaniyaga,தனித்தனியாக,்்்்்்்்்்்்்்்்்்்்்்்்,23
158,kark,கார்க்,்்்்்்்்்்்்்்்்்்்்்்்்,22
159,vaelaiyin,வேலையின்,்்்்்்்்்்்்்்்்்்்்்்்்,23
160,maattruvathai,மாற்றுவதை,்்்்்்்்்்்்்்்்்்்்்்்்,23
161,uruppugal,உறுப்புகள்,்்்்்்்்்்்்்்்்்்்்்்்்,22
162,vaippaar,வைப்பார்,்்்்்்்்்்்்்்்்்்்்்்்்,22
163,braamanarkalum,பிராமணர்களும்,்்்்்்்்்்்்்்்்்்்்்்்்,22
164,adiyiliyaal,அடியிலியால்,்்்்்்்்்்்்்்்்்்்்்்்்,23
165,kezh,கேள்,்்்்்்்்்்்்்்்்்்்்்்்்,23
166,thadaip,தடைப்,்்்்்்்்்்்்்்்்்்்்்்்்,23
167,panguthaarargal,பங்குதாரர்கள்,்்்்்்்்்்்்்்்்்்்்்்்்,21
168,pudhuvaiyai,புதுவையை,்்்்்்்்்்்்்்்்்்்்்்்்,24
169,thadaipattathu,தடைபட்டது,்்்்்்்்்்்்்்்்்்்்்்்்,23
170,kaimari,கைமாறி,்்்்்்்்்்்்்்்்்்்்்்்்,24
171,ouil,ஆயில்,்்்்்்்்்்்்்்்்்்்்்்்்,23
172,santos,சான்டோஸ்,்்்்்்்்்்்்்்்்்்்்்்்்,22
173,seithiyaalargalukum,செய்தியாளர்களுக்கும்,்்்்்்்்்்்்்்்்்்்்்்்்,20
174,pudhumaigalai,புதுமைகளை,்்்்்்்்்்்்்்்்்்்்்்்்,24
175,meemanjai,மீமாஞ்சை,்்்்்்்்்்்்்்்்்்்்்்்்,23
176,padhivar,பதிவர்,்்்்்்்்்்்்்்்்்்்்்்்்,23
177,seluththappadavendum,செலுத்தப்படவேண்டும்,்்்்்்்்்்்்்்்்்்்்்்்்,20
178,thoguppin,தொகுப்பின்,்்்்்்்்்்்்்்்்்்்்்்்்,22
179,eduththirukkirathu,எடுத்திருக்கிறது,்்்்்்்்்்்்்்்்்்்்்்்்,22
180,chudalai,சுடலை,்்்்்்்்்்்்்்்்்்்்்்்்,24
181,yokkiyargalukku,யோக்கியர்களுக்கு,்்்்்்்்்்்்்்்்்்்்்்்்,21
182,ippothea,இப்போதே,்்்்்்்்்்்்்்்்்்்்்்்்,23
183,anupiyullathu,அனுப்பியுள்ளது,்்்்்்்்்்்்்்்்்்்்்்்்,22
184,leakin,லீக்கின்,்்்்்்்்்்்்்்்்்்்்்்்்,22
185,anuraathapuram,அனுராதபுரம்,்்்்்்்்்்்்்்்்்்்்்்்்,23
186,oliparappittu,ஒளிபரப்பிட்டு,்்்்்்்்்்்்்்்்்்்்்்்்,22
187,nanmaigalaip,நன்மைகளைப்,்்்்்்்்்்்்்்்்்்்்்்்்,22
188,gooldain,கோல்டன்,்்்்்்்்்்்்்்்்்்்்்்்்,22
189,uruvaakkaththirku,உருவாக்கத்திற்கு,்்்்்்்்்்்்்்்்்்்்்்்்,21
190,maraala,மரால,்்்்்்்்்்்்்்்்்்்்்்்்,24
191,santana,சான்டானா,்்்்்்்்்்்்்்்்்்்்்்்்,23
192,paes,ஃபேஸ்,்்்்்்்்்்்்்்்்்்்்்்்்,23
193,vikraman,விக்கிரமன்,்்்்்்்்்்்்்்்்்்்்்்்்,22
194,azhugai,அழுகை,்்்்்்்்்்்்்்்்்்்்்்்்,24
195,oruvar,ஒருவா்,்்்்்்்்்்்்்்்்்்்்்்்்,23
196,bayangaravaathigal,பயங்கரவாதிகள்,்்்்்்்்்்்்்்்்்்்்்்்்,22
197,jappaanin,ஜப்பானின்,்்்்்்்்்்்்்்்்்்்்்்்்,22
198,bisiyaaga,பிசியாக,்்்்்்்்்்்்்்்்்்்்்்்்,24
199,wells,வெல்ஸ்,்்்்்்்்்்்்்்்்்்்்்்்்,22
200,pasukkalin,பசுக்களின்,்்்்்்்்்்்்்்்்்்்்்்்்,22
201,enggo,எங்கோ,்்்்்்்்்்்்்்்்்்்்்்்்,23
202,hempstead,ஹெம்ப்ஸ்டெட்,்்்்்்்்்்்்்்்்்்்்்்்்,20
203,kidanthanar,கிடந்தனர்,்்்்்்்்்்்்்்்்்்்்்்்்,22
204,kuriththullaargal,குறித்துள்ளார்கள்,்்்்்்்்்்்்்்்்்்்்்்்்,20
205,dae,டை,்்்்்்்்்்்்்்்்்்்்்்்்,24
206,kadidhamum,கடிதமும்,்்்்்்்்்்்்்்்்்்்்்்்்,23
207,alakiyaana,அழகியான,்்்்்்்்்்்்்்்்்்்்்்்்,24
208,sangaththai,சங்கத்தை,்்்்்்்்்்்்்்்்்்்்்்்்,22
209,thirunthiyirikkirar,திருந்தியிருக்கிறார்,்்்்்்்்்்்்்்்்்்்்்்்்,21
210,masuthiyai,மசூதியை,்்்்்்்்்்்்்்்்்்்்்்்்,24
211,thogaiyaanthu,தொகையானது,்்்்்்்்்்்்்்்்்்்்்்்்,24
212,adhumattumalla,அதுமட்டுமல்ல,்்்்்்்்்்்்்்்்்்்்்்்்,22
213,odissi,ஒடிசி,்்்்்்்்்்்்்்்்்்்்்்்்,24
214,samapangku,சமபங்கு,்்்்்்்்்்்்்்்்்்்்்்்்,23
215,kedaaiyaa,கெடாய்ய,்்்்்்்்்்்்்்்்்்்்்்்்,23
216,soazhargalukku,சோழர்களுக்கு,்்்்்்்்்்்்்்்்்்்்்்்்,22
217,aarppaattangal,ஆர்ப்பாட்டங்கள்,்்்்்்்்்்்்்்்்்்்்்்்்,19
218,dhakshinaamoorthy,தட்சிணாமூர்த்தி,்்்்்்்்்்்்்்்்்்்்்்்்,21
219,kaithigalai,கைதிகளை,்்்்்்்்்்்்்்்்்்்்்்்்,24
220,pazhani,பழநி,்்்்்்்்்்்்்்்்்்்்்்்்,24
221,seenitthovai,சீனித்தொவை,்்்்்்்்்்்்்்்்்்்்்்்்,23
222,gaines,கைனெஸ்,்்்்்்்்்்்்்்்்்்்்்்்்,23
223,ezhuthiyirukkiraargal,எழுதியிருக்கிறார்கள்,்்்்்்்்்்்்்்்்்்்்்்்்,21
224,kakinada,காகினாடா,்்்்்்்்்்்்்்்்்்்்்்்்,24
225,kidaikkaadhadhaal,கிடைக்காததால்,்்்்்்்்்்்்்்்்்்்்்்்்,22
226,tayde,டேடே,்்்்்்்்்்்்்்்்்்்்்்்்,24
227,pirammaththai,பிரம்மத்தை,்்்்்்்்்்்்்்்்்்்்்்்்,22
228,moolzhgadikkappatta,மூழ்கடிக்கப்பட்ட,்்்்்்்்்்்்்்்்்்்்்்்்,20
229,kontirunta,உறங்கிக்,்்்்்்்்்்்்்்்்்்்்்்்்,22
230,piraroodu,பிறரோடு,்்்்்்்்்்்்்்்்்்்்்்்்,24
231,matkalangaley,மட்கலன்களே,்்்்்்்்்்்்்்்்்்்்்்்்,22
232,kaaranamaagum,காரணமாகும்,்்்்்்்்்்்்்்்்்்்்்்்்,23
233,ayiathimuka,அஇஅதிமுக,்்்்்்்்்்்்்்்்்்்்்்்்,24
234,loova,லோவ,்்்்்்்்்்்்்்்்்்்்்்்்,24
235,meenkalaiyum,மீன்களையும்,்்்்்்்்்்்்்்்்்்்்்்்்,22
236,vakuththaal,வகுத்தால்,்்்்்்்்்்்்்்்்்்்்்்்்,22
237,muthalvarai,முதல்வரை,்்்்்்்்்்்்்்்்்்்்்்்்,23
238,kaattrae,காற்றே,்்்்்்்்்்்்்்்்்்்்்்்்,23
239,thalaynagaram,தலைநகரம்,்்்்்்்்்்்்்்்்்்்்்்்்,23
240,thiranaaligalukkaana,மாற்றுத்,்்்்்்்்்்்்்்்்்்்்்்்்,22
241,atkinson,அட்கின்சன்,்்்்்்்்்்்்்்்்்்்்்்்்,21
242,yuuee,யூ,்்்்்்்்்்்்்்்்்்்்்்்்,24
243,kurukkup,குறுக்குப்,்்்்்்்்்்்்்்்்்்்்்்்்,22
244,fertilizers,ஃபெர்டிலைசர்ஸர்ஸ்,்்்்்்்்்்்்்்்்்்்்்்்்,20
245,lancaster,லான்செஸ்டர்,்்்்்்்்்்்்்்்்்்்்்்்்,21
246,kanavanathu,கணவனது,்்்்்்்்்்்்்்்்்்்்்்்்,24
247,thuruvam,துருவம்,்்்்்்்்்்்்்்்்்்்்்்்்,23
248,thulai,துளை,்்்்்்்்்்்்்்்்்்்்்்்்,24
249,sarbia,செர்பியா,்்்்்்்்்்்்்்்்்்்்்்்்,23
250,thunburuththal,துன்புறுத்தல்,்்்்்்்்்்்்்்்்்்்்்்்்,21
251,kampalattu,கம்பளத்து,்்்்்்்்்்்்்்்்்்்்்்்்,22
252,yoorik,யூரிக்,்்்்்்்்்்்்்்்்்்்்்்்்,23
253,koottappatta,கூட்டப்பட்ட,்்்்்்்்்்்்்்்்்்்்்்்்,21
254,agachchiththarippu,அகச்சித்தரிப்பு,்்்்்்்்்்்்்்்்்்்்்்்்,21
255,uraiyaadalgalai,உரையாடல்களை,்்்்்்்்்்்்்்்்்்்்்்்்,23
256,seyalpatatha,செயல்படாத,்்்்்்்்்்்்்்்்்்்்்்்்,23
257,kaalakattaththil,காலகட்டத்தில்,்்்்்்்்்்்்்்்்்்்்்்்்,21
258,pesinen,பேசினேன்,்்்்்்்்்்்்்்்்்்்்்்்்,23
259,karuthippaarththu,கருதிப்பார்த்து,்்்்்்்்்்்்்்்்்்்்்்்்,21
260,rivas,ரிவாஸ்,்்்்்்்்்்்்்்்்்்்்்்்்,23
261,arellano,அரில்லானோ,்்்்்்்்்்்்்்்்்்்்்்்்,23
262,symon,சைமன்,்்்்்்்்்்்்்்்்்்்்்்்்,23
263,saaradhigal,சாரதிகள்,்்்்்்்்்்்்்்்்்்்்்்்்,23
264,vaethangkalil,வேதங்களில்,்்்்்்்்்்்்்்்்்்்்்்்்,22
265,seyalpaduthal,செயல்படுதல்,்்்்்்்்்்்்்்்்்்்்்்்்,22
266,vendum,குளிக்க,்்்்்்்்்்்்்்்்்்்்்்்்,23
267,ekapoakam,ஏகபோகம்,்்்்்்்்்்்்்்்்்்்்்்்்,23
268,thankich,தங்கிச்,்்்்்்்்்்்்்்்்்்்்்்்்,22
269,therinthirunthavar,தெரிந்திருந்தவர்,்்்்்்்்்்்்்்்்்்்்்்்்,21
270,puunakariyil,பூநகரியில்,்்்்்்்்்்்்்்்்்்்்்்்்,23
271,porundhavillai,பொருந்தவில்லை,்்்்்்்்்்்்்்்்்்்்்்்்,22
272,pinvaanginaar,பின்வாங்கினார்,்்்்்்்்்்்்்்்்்்்்்்்்,21
273,koppai,கோப்பை,்்்்்்்்்்்்்்்்்்்்்்்்,23
274,matravargalaith,மற்றவர்களைத்,்்்்்்்்்்்்்்்்்்்்்்்்,21
275,weils,வெல்ஷ்,்்்்்்்்்்்்்்்்்்்்்்்்,22
276,kilappi,கிளப்பி,்்்்்்்்்்்்்்்்்்்்்்்்,23
277,varukinrana,உலா,்்்்்்்்்்்்்்்்்்்்்்்்,24
278,puratti,புரட்டி,்்்்்்்்்்்்்்்்்்்்்்்்,23
279,kalviyaandu,கல்வியாண்டு,்்்்்்்்்்்்்்்்்்்்்்்்,22
280,naangalum,நாங்களும்,்்்்்்்்்்்்்்்்்்்்்்்்,22
281,uruvaakkal,உருவாக்கல்,்்்்்்்்்்்்்்்்்்்்்்்்,22
282,laal,ளால்,்்்்்்்்்்்்்்்்்்்்்்்்,23
283,varuvaay,வருவாய்,்்்்்்்்்்்்்்்்்்்்்்்்,23
284,poivittaar,போய்விட்டார்,்்்்்்்்்்்்்்்்்்்்்்்்,21
285,wheel,வீல்,்்்்்்்்்்்்்்்்்்்்்்்்,23
286,mishra,மிஸ்ரா,்்்்்்்்்்்்்்்்்்்்்்்்,23
287,solren,சொல்றேன்,்்்்்்்்்்்்்்்்்்்்்்்்,22
288,kaividappadugiraargal,கைவிடப்படுகிறார்கள்,்்்்்்்்்்்்்்்்்்்்்்்்,21
289,seiyappattiruppaar,செய்யப்பட்டிருப்பார்,்்்்்்்்்்்்்்்்்்்்்்்்,19
290,aarvaththaik,ஆர்வத்தைக்,்்்்்்்்்்்்்்்்்்்்்்்்,21
291,vaattara,வாட்டர்ஸ்,்்்்்்்்்்்்்்்்்்்்்்்்,21
292,paantavarkalai,பாண்டவர்களை,்்்்்்்்்்்்்்்்்்்்்்்்,22
293,pathikkaththaan,பதிக்கத்தான்,்்்்்்்்்்்்்்்்்்்்்்்்,21
294,ezhuthiyulla,எழுதியுள்ள,்்்்்்்்்்்்்்்்்்்்்்்்,23
295,gudepu,குடேபு,்்்்்்்்்்்்்்்்்்்்்்்்,24
296,alambiththudaiththu,அலம்பித்துடைத்து,்்்்்்்்்்்்்்்்்்்்்்்்,21
297,kallurigazhum,கல்லூரிகளும்,்்்்்்்்்்்்்்்்்்்்்்்்,22
298,deerfield,டீர்ஃபீல்டு,்்்்்்்்்்்்்்்்்்்்்்்்,22
299,raentam,ரேண்டம்,்்்்்்்்்்்்்்்்்்்்்்்்,22
300,padigalin,படிகளின்,்்்்்்்்்்்்்்்்்்்்்்்்,23
301,isuzu,இசுசூ,்்்்்்்்்்்்்்்்்்்்்்்்,24
302,moorththikal,மூர்த்திகள்,்்்்்்்்்்்்்்்்்்்்்்்்,21
303,therkkilirundhu,தெற்கிலிருந்து,்்்்்்்்்்்்்்்்்்்்்்்்,22
304,laqchhami,லட்சுமி,்்்்்்்்்்்்்்்்்்்்்்்்,23
305,valinadaththi,வழிநடத்தி,்்்்்்்்்்்்்்்்்்்்்்்்,23
306,emilie,எமிலி,்்்்்்்்்்்்்்்்்்்்்்்்,24
307,gardan,கார்டன்,்்்்்்்்்்்்்்்்்்்்்்்்,22
308,santharppankal,சந்தர்ப்பங்கள்,்்்்்்்்்்்்்்்்்்்்்்்்,19
